ID,Code DTC,Description du problème,Root Cause Description,Composant concerné,PCA attendue,Statut GIM
736,P0900,Trunk not opening,Door latch sensor faulty,Hybrid Battery,Replace sunroof motor,Résolu
737,P0620,Steering wheel vibration at high speed,Alignment issues,Sunroof System,Replace sunroof motor,Non résolu
738,P1500,Loud clicking noise during hybrid mode switch,GPS antenna faulty,Inverter,Replace clutch friction element and recalibrate transmission,En traitement
739,P0830,Blind spot monitor warning,Blind spot sensor obstructed,Lighting System,Adjust tire pressure,En traitement
740,P0980,Blind spot monitor warning,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Trunk System,Replace catalytic converter,Résolu
741,P0990,"Engine misfire, rough idle",Rearview camera lens dirty,Suspension,Clean rearview camera lens,Non résolu
742,P0940,Wipers not working,GPS antenna faulty,MG2,Replace thermostat,Résolu
743,P0133,Power windows not responding,Catalytic converter efficiency below threshold,Tires,Adjust tire pressure,Résolu
744,P0920,Parking assist system error,"Thermostat stuck open, engine running cold",Brakes,Replace inverter cooling pump and refill coolant,En traitement
745,P0910,Unusual tire wear,"Thermostat stuck open, engine running cold",Horn System,Perform wheel alignment,En traitement
746,P0705,Navigation system not working,"Thermostat stuck open, engine running cold",ECU,Clean blind spot sensor,Non résolu
747,P0171,Steering wheel vibration at high speed,Refrigerant leak in AC system,Tires,"Locate and repair refrigerant leak, then recharge AC system",En traitement
748,P0910,Wipers not working,"Oxygen sensor malfunction, leading to incorrect fuel mixture",ECU,Clean battery terminals,Non résolu
749,P0201,Rearview camera blurry,"Thermostat stuck open, engine running cold",Electrical System,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
750,P0301,Horn not functioning,Loose battery terminal connection,Horn System,Replace door latch sensor,En traitement
751,P0810,Fuel gauge inaccurate,Radar sensor blocked,Wiper System,Replace turbocharger,Résolu
752,P0606,Sunroof stuck open,Clogged fuel injector and worn spark plugs,Camera Systems,Replace connecting rod bearings,Résolu
753,P1803-00,Power windows not responding,Blind spot sensor obstructed,Cooling System,Recalibrate lane keeping assist camera,En traitement
754,P0620,Engine knocking sound,Faulty inverter cooling pump causing insufficient coolant circulation,AC System,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
755,P0133,Vehicle pulls to one side,Lane keeping assist camera misaligned,Cooling System,Replace spark plugs and clean fuel injectors,En traitement
756,P03AF,"Engine misfire, rough idle",Improper tire inflation,Exhaust System,Clean blind spot sensor,Résolu
757,P0113,Reduced power and acceleration,Sunroof motor failure,Driver Assistance Systems,Replace inverter cooling pump and refill coolant,En traitement
758,P0740,Excessive exhaust smoke,Connecting rod bearing wear,Suspension,Replace GPS antenna,Résolu
759,P0401,Parking assist system error,Faulty horn relay,Hybrid Battery,Clean rearview camera lens,En traitement
760,P0805,"Check engine light on, no noticeable symptoms",Blind spot sensor obstructed,Trunk System,Clean rearview camera lens,Résolu
761,P0920,Loud clicking noise during hybrid mode switch,Turbocharger seal failure,Wiper System,Replace sunroof motor,En traitement
762,P0705,Blind spot monitor warning,Turbocharger seal failure,Suspension,Replace heated seat element,Non résolu
763,P0650,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Turbocharger seal failure,Driver Assistance Systems,Clean blind spot sensor,Résolu
764,P1000,Wipers not working,Loose battery terminal connection,MG2,Replace thermostat,Résolu
765,P0172,Lane departure warning system fault,Refrigerant leak in AC system,Trunk System,Replace sunroof motor,Non résolu
766,P0172,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Alignment issues,Trunk System,Adjust tire pressure,Résolu
767,P0840,Fuel gauge inaccurate,Turbocharger seal failure,Driver Assistance Systems,Replace thermostat,En traitement
768,P0770,Brake system warning light,Wheel bearing worn out,Interior Electronics,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
769,P0335,Rearview camera blurry,Catalytic converter efficiency below threshold,Safety Systems,Replace wheel bearing,En traitement
770,P0740,Wipers not working,"Thermostat stuck open, engine running cold",Brakes,Replace catalytic converter,Résolu
771,P0335,Vehicle pulls to one side,Refrigerant leak in AC system,MG2,Adjust tire pressure,En traitement
772,P0601,Vehicle pulls to one side,Catalytic converter efficiency below threshold,Exhaust System,Clean blind spot sensor,Non résolu
773,P0840,Reduced power and acceleration,Motor for power window faulty,Wiper System,Replace power window motor,Résolu
774,P0122,Vehicle pulls to one side,Battery internal resistance too high causing voltage imbalance,Inverter,Replace connecting rod bearings,Non résolu
775,P0880,Adaptive cruise control unavailable,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Body Control Module,Replace wiper fuse,Non résolu
776,P1300,Engine knocking sound,Ignition coil failure in cylinder 1,Cooling System,"Locate and repair refrigerant leak, then recharge AC system",Résolu
777,P0220,Wipers not working,Faulty inverter cooling pump causing insufficient coolant circulation,ECU,Clean blind spot sensor,En traitement
778,P0890,"Check engine light on, no noticeable symptoms",Catalytic converter efficiency below threshold,Tires,Replace oxygen sensor and clear fault codes,En traitement
779,P0606,"Check engine light on, no noticeable symptoms",Turbocharger seal failure,Exhaust System,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
780,P0601,Sunroof stuck open,Transmission clutch friction element stuck causing shifting issues,Hybrid Battery,Replace power window motor,Résolu
781,P0172,Hybrid system malfunction,Heater element failure in seat,Interior Electronics,"Locate and repair refrigerant leak, then recharge AC system",Résolu
782,P0890,Hybrid system malfunction,Catalytic converter efficiency below threshold,Engine,Replace horn relay,En traitement
783,P0122,Fuel gauge inaccurate,Blown fuse in wiper circuit,Horn System,Replace thermostat,Non résolu
784,P0950,Reduced power and acceleration,Parking sensor dirty,Electrical System,Replace door latch sensor,En traitement
785,P0135,Fuel gauge inaccurate,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Suspension,Replace wheel bearing,Résolu
786,P0172,Loud clicking noise during hybrid mode switch,Motor for power window faulty,AC System,Clean rearview camera lens,Non résolu
787,P0830,Loud clicking noise during hybrid mode switch,Clogged fuel injector and worn spark plugs,Safety Systems,Update ECU software and reset hybrid system,Résolu
788,P0335,Lane departure warning system fault,Turbocharger seal failure,MG2,Clean parking sensor,En traitement
789,P0133,Sunroof stuck open,Radar sensor blocked,Horn System,Clean parking sensor,En traitement
790,P0950,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Faulty horn relay,Wiper System,Replace inverter cooling pump and refill coolant,Non résolu
791,P0335,Lane departure warning system fault,Ignition coil failure in cylinder 1,Safety Systems,Replace wiper fuse,Non résolu
792,P0301,Steering wheel vibration at high speed,Rearview camera lens dirty,Suspension,Replace trunk release actuator,Résolu
793,P0133,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Improper tire inflation,Camera Systems,Replace ignition coil in cylinder 1,Résolu
794,P0960,Navigation system not working,Radar sensor blocked,Horn System,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
795,P0980,Rearview camera blurry,Ignition coil failure in cylinder 1,Interior Electronics,Replace turbocharger,Résolu
796,P07AD,Parking assist system error,Parking sensor dirty,Transmission,Clean blind spot sensor,En traitement
797,P0A80,Hybrid system malfunction,Lane keeping assist camera misaligned,Tires,Perform wheel alignment,Non résolu
798,P0650,Loud clicking noise during hybrid mode switch,Motor for power window faulty,Electrical System,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
799,P1000,Steering wheel vibration at high speed,Sunroof motor failure,Steering,Replace wiper fuse,En traitement
800,P07AD,Horn not functioning,Connecting rod bearing wear,Sunroof System,Replace clutch friction element and recalibrate transmission,En traitement
801,P0420,Parking assist system error,Lane keeping assist camera misaligned,Camera Systems,Replace ignition coil in cylinder 1,Non résolu
802,P0840,Brake system warning light,Ignition coil failure in cylinder 1,Steering,Replace door latch sensor,En traitement
803,P0860,Door ajar warning light on constantly,Motor for power window faulty,Navigation System,Replace spark plugs and clean fuel injectors,En traitement
804,P0113,"Check engine light on, no noticeable symptoms",Parking sensor dirty,Horn System,Update ECU software and reset hybrid system,En traitement
805,P07A3,Hybrid system malfunction,Ignition coil failure in cylinder 1,Body Control Module,"Locate and repair refrigerant leak, then recharge AC system",En traitement
806,P0560,"Vehicle not ready, hybrid system warning",Ignition coil failure in cylinder 1,Hybrid Battery,Perform wheel alignment,En traitement
807,P0910,Door ajar warning light on constantly,Clogged fuel injector and worn spark plugs,Tires,Replace clutch friction element and recalibrate transmission,Non résolu
808,P0850,Heated seats not working,Lane keeping assist camera misaligned,Safety Systems,Replace horn relay,En traitement
809,P0133,Fuel gauge inaccurate,Radar sensor blocked,Trunk System,Replace catalytic converter,Non résolu
810,P0840,Hybrid system malfunction,Door latch sensor faulty,Lighting System,Replace inverter cooling pump and refill coolant,En traitement
811,P0620,Parking assist system error,Faulty inverter cooling pump causing insufficient coolant circulation,Tires,Clean parking sensor,Non résolu
812,P0940,Heated seats not working,Transmission clutch friction element stuck causing shifting issues,Tires,Replace sunroof motor,Non résolu
813,P0910,Trunk not opening,Transmission clutch friction element stuck causing shifting issues,MG2,Replace connecting rod bearings,Non résolu
814,P0650,STOP SAFELY VEHICLE WILL SHUT OFF SOON,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Navigation System,Clean blind spot sensor,En traitement
815,P0650,Heated seats not working,Transmission clutch friction element stuck causing shifting issues,Electrical System,Replace ignition coil in cylinder 1,En traitement
816,P0335,Trunk not opening,Loose battery terminal connection,MG2,Replace heated seat element,En traitement
817,P0840,Blind spot monitor warning,Parking sensor dirty,Suspension,Clean battery terminals,En traitement
818,P0A80,Rearview camera blurry,"Thermostat stuck open, engine running cold",Electrical System,Clean rearview camera lens,Non résolu
819,P0301,Rearview camera blurry,Rearview camera lens dirty,Engine,Replace heated seat element,Non résolu
820,P0840,Vehicle pulls to one side,Lane keeping assist camera misaligned,MG2,Replace inverter cooling pump and refill coolant,Non résolu
821,P0930,Battery overheats after 20 min of driving,Battery internal resistance too high causing voltage imbalance,Engine,Replace wiper fuse,En traitement
822,P1200,Navigation system not working,Battery internal resistance too high causing voltage imbalance,ECU,Recalibrate lane keeping assist camera,Non résolu
823,P0335,Power windows not responding,"Thermostat stuck open, engine running cold",Sunroof System,Replace heated seat element,Résolu
824,P0960,Loud clicking noise during hybrid mode switch,Motor for power window faulty,Camera Systems,Replace GPS antenna,En traitement
825,P0505,Door ajar warning light on constantly,Improper tire inflation,ECU,Increase MG1 nut torque spec from 353Nm to 398Nm,En traitement
826,P0740,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Radar sensor blocked,Suspension,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
827,P0455,Trunk not opening,Blind spot sensor obstructed,MG2,Replace door latch sensor,En traitement
828,P03AF,Vehicle pulls to one side,Lane keeping assist camera misaligned,Body Control Module,Replace heated seat element,Non résolu
829,P0860,Fuel gauge inaccurate,Sunroof motor failure,Horn System,Replace turbocharger,En traitement
830,P0920,Trunk not opening,Actuator for trunk release faulty,Cooling System,Perform wheel alignment,En traitement
831,P1200,"Vehicle not ready, hybrid system warning",Turbocharger seal failure,Sunroof System,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
832,P0730,"Check engine light on, no noticeable symptoms",Battery internal resistance too high causing voltage imbalance,Engine,Replace horn relay,Non résolu
833,P0900,Parking assist system error,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Sunroof System,Replace turbocharger,Non résolu
834,P0135,Brake system warning light,Refrigerant leak in AC system,Electrical System,Replace clutch friction element and recalibrate transmission,En traitement
835,P0740,Door ajar warning light on constantly,Catalytic converter efficiency below threshold,Wiper System,Increase MG1 nut torque spec from 353Nm to 398Nm,En traitement
836,P0970,"Check engine light on, no noticeable symptoms","Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Driver Assistance Systems,Clean parking sensor,Résolu
837,P0446,Battery overheats after 20 min of driving,Transmission clutch friction element stuck causing shifting issues,Engine,Replace catalytic converter,En traitement
838,P0720,Vehicle pulls to one side,Faulty horn relay,AC System,Replace ignition coil in cylinder 1,En traitement
839,P1600,Fuel gauge inaccurate,Faulty horn relay,Electrical System,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
840,P0560,Loud clicking noise during hybrid mode switch,Faulty horn relay,Sunroof System,Replace GPS antenna,En traitement
841,P0560,Navigation system not working,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Engine,Replace turbocharger,En traitement
842,P0750,Loud clicking noise during hybrid mode switch,Transmission clutch friction element stuck causing shifting issues,Horn System,Replace heated seat element,Non résolu
843,P0113,Loud clicking noise during hybrid mode switch,Lane keeping assist camera misaligned,Camera Systems,Replace faulty battery modules and rebalance the hybrid battery pack,En traitement
844,P0740,Vehicle pulls to one side,Wheel bearing worn out,Suspension,Replace sunroof motor,En traitement
845,P0340,"Vehicle not ready, hybrid system warning",Blind spot sensor obstructed,Interior Electronics,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
846,P0715,Headlights flickering,Communication loss between ECU and hybrid battery module,AC System,Replace oxygen sensor and clear fault codes,En traitement
847,P0960,Wipers not working,Blind spot sensor obstructed,Suspension,Clean radar sensor,Résolu
848,P0A80,Reduced power and acceleration,Ignition coil failure in cylinder 1,Transmission,Replace clutch friction element and recalibrate transmission,Résolu
849,P07A3,Hybrid system malfunction,Rearview camera lens dirty,Electrical System,Update ECU software and reset hybrid system,Résolu
850,P0770,AC not blowing cold air,Lane keeping assist camera misaligned,Trunk System,Replace ignition coil in cylinder 1,Non résolu
851,P0720,Heated seats not working,"Thermostat stuck open, engine running cold",Wiper System,Replace spark plugs and clean fuel injectors,Résolu
852,P0446,"Engine misfire, rough idle",Loose battery terminal connection,Exhaust System,Replace sunroof motor,Résolu
853,P0505,Heated seats not working,Connecting rod bearing wear,Cooling System,Adjust tire pressure,Non résolu
854,P0840,AC not blowing cold air,Sunroof motor failure,Tires,Replace wiper fuse,En traitement
855,P1300,AC not blowing cold air,Loose battery terminal connection,Engine,Replace horn relay,Résolu
856,P0850,Engine knocking sound,Refrigerant leak in AC system,Sunroof System,Clean battery terminals,Non résolu
857,P0446,Unusual tire wear,Faulty inverter cooling pump causing insufficient coolant circulation,Body Control Module,Replace thermostat,Non résolu
858,P0201,Adaptive cruise control unavailable,Catalytic converter efficiency below threshold,Electrical System,Clean radar sensor,Non résolu
859,P0171,Heated seats not working,Communication loss between ECU and hybrid battery module,MG2,Update ECU software and reset hybrid system,Non résolu
860,P0500,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Clogged fuel injector and worn spark plugs,ECU,Replace GPS antenna,Non résolu
861,P0420,AC not blowing cold air,Transmission clutch friction element stuck causing shifting issues,Body Control Module,Clean radar sensor,Non résolu
862,P0440,Lane departure warning system fault,Clogged fuel injector and worn spark plugs,Driver Assistance Systems,Replace wiper fuse,En traitement
863,P1500,Lane departure warning system fault,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Steering,Replace door latch sensor,En traitement
864,P1700,"Check engine light on, no noticeable symptoms",Lane keeping assist camera misaligned,Steering,Replace power window motor,Résolu
865,P0440,Sunroof stuck open,Blown fuse in wiper circuit,Steering,Replace heated seat element,Non résolu
866,P07AD,Vehicle pulls to one side,Sunroof motor failure,Suspension,Replace catalytic converter,Résolu
867,P0900,Excessive exhaust smoke,Rearview camera lens dirty,MG2,Replace door latch sensor,En traitement
868,P0A80,Battery overheats after 20 min of driving,Parking sensor dirty,Camera Systems,Perform wheel alignment,En traitement
869,P0122,"Engine misfire, rough idle",Loose battery terminal connection,Suspension,Replace oxygen sensor and clear fault codes,En traitement
870,P1803-00,Battery overheats after 20 min of driving,Clogged fuel injector and worn spark plugs,Wiper System,Replace turbocharger,Résolu
871,P0446,Blind spot monitor warning,Blind spot sensor obstructed,Transmission,Replace sunroof motor,En traitement
872,P0446,Vehicle pulls to one side,Transmission clutch friction element stuck causing shifting issues,Lighting System,Replace thermostat,En traitement
873,P0860,Rearview camera blurry,Improper tire inflation,Transmission,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
874,P0700,Blind spot monitor warning,Sunroof motor failure,Cooling System,Replace wheel bearing,En traitement
875,P0172,Headlights flickering,Parking sensor dirty,Interior Electronics,Clean rearview camera lens,En traitement
876,P0960,Sunroof stuck open,Radar sensor blocked,Cooling System,Update ECU software and reset hybrid system,Non résolu
877,P03AF,Steering wheel vibration at high speed,Loose battery terminal connection,Body Control Module,"Locate and repair refrigerant leak, then recharge AC system",Résolu
878,P0850,Brake system warning light,Wheel bearing worn out,MG1,Replace oxygen sensor and clear fault codes,Résolu
879,P0900,Rearview camera blurry,Improper tire inflation,Body Control Module,Clean blind spot sensor,En traitement
880,P0446,AC not blowing cold air,Faulty horn relay,Sunroof System,Replace catalytic converter,Non résolu
881,P0301,Power windows not responding,Door latch sensor faulty,Navigation System,Increase MG1 nut torque spec from 353Nm to 398Nm,En traitement
882,P0122,Unusual tire wear,"Thermostat stuck open, engine running cold",Brakes,Replace thermostat,Résolu
883,P0606,Blind spot monitor warning,Wheel bearing worn out,Inverter,Clean parking sensor,En traitement
884,P0830,Door ajar warning light on constantly,Motor for power window faulty,Interior Electronics,Clean battery terminals,Résolu
885,P0560,Headlights flickering,Transmission clutch friction element stuck causing shifting issues,Sunroof System,Adjust tire pressure,En traitement
886,P0780,Engine knocking sound,Sunroof motor failure,Exhaust System,Clean rearview camera lens,Non résolu
887,P1300,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Blown fuse in wiper circuit,Horn System,Replace oxygen sensor and clear fault codes,En traitement
888,P0700,Battery overheats after 20 min of driving,Communication loss between ECU and hybrid battery module,Wiper System,Replace sunroof motor,Résolu
889,P07AD,Power windows not responding,Wheel bearing worn out,AC System,Replace catalytic converter,Non résolu
890,P0446,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Sunroof motor failure,MG1,Update ECU software and reset hybrid system,Résolu
891,P1400,Door ajar warning light on constantly,"Oxygen sensor malfunction, leading to incorrect fuel mixture",MG1,Clean parking sensor,Non résolu
892,P0950,"Vehicle not ready, hybrid system warning",Connecting rod bearing wear,ECU,Perform wheel alignment,Résolu
893,P0720,Headlights flickering,Lane keeping assist camera misaligned,Horn System,Replace connecting rod bearings,Résolu
894,P0171,Loud clicking noise during hybrid mode switch,Parking sensor dirty,Trunk System,Clean rearview camera lens,En traitement
895,P0720,"Engine misfire, rough idle",GPS antenna faulty,Steering,Replace turbocharger,Résolu
896,P0860,Heated seats not working,Connecting rod bearing wear,Suspension,"Locate and repair refrigerant leak, then recharge AC system",Résolu
897,P0850,Steering wheel vibration at high speed,GPS antenna faulty,Trunk System,Clean rearview camera lens,Non résolu
898,P0335,Unusual tire wear,"Thermostat stuck open, engine running cold",Lighting System,Replace catalytic converter,En traitement
899,P0620,Unusual tire wear,Turbocharger seal failure,Safety Systems,Replace ignition coil in cylinder 1,En traitement
900,P0505,Lane departure warning system fault,Sunroof motor failure,Lighting System,Replace trunk release actuator,Résolu
901,P0930,Adaptive cruise control unavailable,Improper tire inflation,Cooling System,Replace inverter cooling pump and refill coolant,Résolu
902,P0960,Steering wheel vibration at high speed,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",AC System,Replace ignition coil in cylinder 1,Résolu
903,P0455,"Check engine light on, no noticeable symptoms","Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Wiper System,Replace catalytic converter,Non résolu
904,P0601,"Engine misfire, rough idle",Refrigerant leak in AC system,Trunk System,Increase MG1 nut torque spec from 353Nm to 398Nm,En traitement
905,P0790,Blind spot monitor warning,Radar sensor blocked,Wiper System,Replace thermostat,Non résolu
906,P0505,Rearview camera blurry,Transmission clutch friction element stuck causing shifting issues,Exhaust System,Replace wiper fuse,En traitement
907,P0301,Blind spot monitor warning,Faulty horn relay,MG1,Recalibrate lane keeping assist camera,En traitement
908,P0940,Brake system warning light,Alignment issues,Camera Systems,Clean parking sensor,Non résolu
909,P1000,Navigation system not working,Transmission clutch friction element stuck causing shifting issues,Safety Systems,Replace connecting rod bearings,En traitement
910,P0705,Wipers not working,Improper tire inflation,Hybrid Battery,Perform wheel alignment,En traitement
911,P1700,Trunk not opening,GPS antenna faulty,Camera Systems,Replace horn relay,Non résolu
912,P0220,Lane departure warning system fault,Connecting rod bearing wear,MG2,Perform wheel alignment,Résolu
913,P0122,Door ajar warning light on constantly,Sunroof motor failure,Engine,Replace wheel bearing,Non résolu
914,P1803-00,Fuel gauge inaccurate,Communication loss between ECU and hybrid battery module,Lighting System,Clean radar sensor,Non résolu
915,P0505,Brake system warning light,Faulty horn relay,Tires,Replace oxygen sensor and clear fault codes,Résolu
916,P0101,Sunroof stuck open,Refrigerant leak in AC system,Electrical System,Replace GPS antenna,Résolu
917,P1000,Excessive exhaust smoke,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Lighting System,Adjust tire pressure,Non résolu
918,P0730,Adaptive cruise control unavailable,Refrigerant leak in AC system,Camera Systems,Replace sunroof motor,Non résolu
919,P0820,Hybrid system malfunction,Door latch sensor faulty,Exhaust System,"Locate and repair refrigerant leak, then recharge AC system",En traitement
920,P03AF,Parking assist system error,Sunroof motor failure,Body Control Module,Clean battery terminals,Non résolu
921,P0870,Steering wheel vibration at high speed,Faulty inverter cooling pump causing insufficient coolant circulation,Exhaust System,Replace spark plugs and clean fuel injectors,En traitement
922,P0770,Fuel gauge inaccurate,Communication loss between ECU and hybrid battery module,Exhaust System,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
923,P0920,"Check engine light on, no noticeable symptoms","Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Horn System,Replace horn relay,En traitement
924,P0870,Heated seats not working,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Transmission,Clean parking sensor,Non résolu
925,P0A93,Brake system warning light,Faulty horn relay,Transmission,Replace inverter cooling pump and refill coolant,En traitement
926,P0335,Parking assist system error,Faulty horn relay,Trunk System,Clean parking sensor,Non résolu
927,P0172,"Check engine light on, no noticeable symptoms",Faulty inverter cooling pump causing insufficient coolant circulation,Lighting System,Clean battery terminals,Résolu
928,P1300,Headlights flickering,Faulty inverter cooling pump causing insufficient coolant circulation,Electrical System,Replace oxygen sensor and clear fault codes,Résolu
929,P1400,Sunroof stuck open,Clogged fuel injector and worn spark plugs,Suspension,Replace horn relay,En traitement
930,P0101,Excessive exhaust smoke,Blown fuse in wiper circuit,Driver Assistance Systems,Clean radar sensor,Non résolu
931,P1100,Headlights flickering,Transmission clutch friction element stuck causing shifting issues,Engine,Replace catalytic converter,En traitement
932,P0770,Door ajar warning light on constantly,GPS antenna faulty,MG1,Adjust tire pressure,Non résolu
933,P0700,"Vehicle not ready, hybrid system warning","Thermostat stuck open, engine running cold",Suspension,Replace horn relay,En traitement
934,P1000,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Radar sensor blocked,AC System,Clean battery terminals,Non résolu
935,P0730,Battery overheats after 20 min of driving,Refrigerant leak in AC system,Safety Systems,Clean rearview camera lens,Résolu
936,P0940,Wipers not working,Radar sensor blocked,Engine,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
937,P0970,Parking assist system error,Battery internal resistance too high causing voltage imbalance,Wiper System,Replace ignition coil in cylinder 1,En traitement
938,P0910,Sunroof stuck open,Turbocharger seal failure,Interior Electronics,Clean blind spot sensor,Non résolu
939,P0113,Horn not functioning,Door latch sensor faulty,Sunroof System,Recalibrate lane keeping assist camera,Non résolu
940,P0340,Fuel gauge inaccurate,Sunroof motor failure,MG2,Replace trunk release actuator,En traitement
941,P1500,"Engine misfire, rough idle",Lane keeping assist camera misaligned,Navigation System,Replace power window motor,Résolu
942,P0500,Unusual tire wear,Lane keeping assist camera misaligned,AC System,Replace horn relay,En traitement
943,P0A80,AC not blowing cold air,Sunroof motor failure,Engine,Replace spark plugs and clean fuel injectors,En traitement
944,P03AF,Battery overheats after 20 min of driving,Parking sensor dirty,MG1,Replace heated seat element,Résolu
945,P0135,AC not blowing cold air,Battery internal resistance too high causing voltage imbalance,Transmission,Replace trunk release actuator,Non résolu
946,P0340,Battery overheats after 20 min of driving,Wheel bearing worn out,Horn System,Replace wheel bearing,Résolu
947,P0135,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Blown fuse in wiper circuit,Driver Assistance Systems,Replace door latch sensor,Résolu
948,P0970,Brake system warning light,Wheel bearing worn out,Steering,Replace spark plugs and clean fuel injectors,Résolu
949,P0401,Navigation system not working,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Cooling System,Clean parking sensor,Résolu
950,P0715,AC not blowing cold air,Parking sensor dirty,Driver Assistance Systems,Clean battery terminals,Résolu
951,P07A3,Lane departure warning system fault,Motor for power window faulty,MG2,Replace trunk release actuator,En traitement
952,P0A93,Loud clicking noise during hybrid mode switch,Transmission clutch friction element stuck causing shifting issues,AC System,Clean parking sensor,Non résolu
953,P1600,Hybrid system malfunction,Actuator for trunk release faulty,Driver Assistance Systems,"Locate and repair refrigerant leak, then recharge AC system",En traitement
954,P0910,Power windows not responding,Parking sensor dirty,Tires,Replace thermostat,Résolu
955,P0870,Navigation system not working,Parking sensor dirty,MG1,Clean blind spot sensor,Résolu
956,P1700,Brake system warning light,Faulty horn relay,Camera Systems,Clean battery terminals,Résolu
957,P0790,Door ajar warning light on constantly,Faulty inverter cooling pump causing insufficient coolant circulation,Steering,Replace inverter cooling pump and refill coolant,Résolu
958,P0172,Loud clicking noise during hybrid mode switch,Transmission clutch friction element stuck causing shifting issues,Interior Electronics,Replace thermostat,Résolu
959,P0220,Reduced power and acceleration,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Suspension,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
960,P0340,Unusual tire wear,Faulty inverter cooling pump causing insufficient coolant circulation,Hybrid Battery,Replace door latch sensor,Non résolu
961,P0135,Sunroof stuck open,Parking sensor dirty,AC System,Replace oxygen sensor and clear fault codes,En traitement
962,P0401,Excessive exhaust smoke,Ignition coil failure in cylinder 1,Hybrid Battery,Perform wheel alignment,Résolu
963,P0340,"Vehicle not ready, hybrid system warning","Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Horn System,Clean blind spot sensor,En traitement
964,P0950,Horn not functioning,Catalytic converter efficiency below threshold,Wiper System,Replace GPS antenna,Non résolu
965,P0960,Steering wheel vibration at high speed,Motor for power window faulty,ECU,Clean radar sensor,Non résolu
966,P0780,Loud clicking noise during hybrid mode switch,"Thermostat stuck open, engine running cold",Brakes,Clean radar sensor,Résolu
967,P0740,Unusual tire wear,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Brakes,Replace horn relay,Non résolu
968,P0830,Parking assist system error,Turbocharger seal failure,Cooling System,Perform wheel alignment,En traitement
969,P0900,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Wheel bearing worn out,Hybrid Battery,Replace ignition coil in cylinder 1,Résolu
970,P0A93,Heated seats not working,Battery internal resistance too high causing voltage imbalance,Sunroof System,Update ECU software and reset hybrid system,Non résolu
971,P0840,STOP SAFELY VEHICLE WILL SHUT OFF SOON,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Exhaust System,Recalibrate lane keeping assist camera,Non résolu
972,P0440,Reduced power and acceleration,GPS antenna faulty,Cooling System,Replace horn relay,En traitement
973,P1100,Brake system warning light,Faulty inverter cooling pump causing insufficient coolant circulation,Exhaust System,Replace GPS antenna,En traitement
974,P0805,Fuel gauge inaccurate,Clogged fuel injector and worn spark plugs,Tires,Replace wheel bearing,Résolu
975,P0601,Rearview camera blurry,"Thermostat stuck open, engine running cold",Camera Systems,Update ECU software and reset hybrid system,Non résolu
